ds,yhat
2025-07-01,72565.22108252623
2025-08-01,79594.12061332338
2025-09-01,76585.20784791537
2025-10-01,97915.29396227446
2025-11-01,116134.37338844947
2025-12-01,225085.70342148916
2026-01-01,245623.4967936341
2026-02-01,165746.3530134213
2026-03-01,131818.45864133924
